Prix,Achat_Tot,Date,Part_Strat
74.0,30.0,8.0,0.44
192.0,11.0,9.0,0.44
122.0,8.0,10.0,0.44
215.0,6.0,11.0,0.44
184.0,20.0,12.0,0.44
217.0,4.0,1.0,0.45
129.0,14.0,2.0,0.45
218.0,3.0,3.0,0.45
139.0,5.0,4.0,0.45
214.0,4.0,5.0,0.45
98.0,30.0,6.0,0.45
130.0,3.0,7.0,0.45
179.0,7.0,8.0,0.45
151.0,6.0,9.0,0.45
147.0,17.0,10.0,0.45
183.0,12.0,11.0,0.45
75.0,18.0,12.0,0.45
116.0,22.0,1.0,0.46
119.0,1.0,2.0,0.46
193.0,2.0,3.0,0.46
181.0,2.0,4.0,0.46
133.0,17.0,5.0,0.46
196.0,2.0,6.0,0.46
216.0,0.0,7.0,0.46
145.0,19.0,8.0,0.46
119.0,18.0,9.0,0.46
192.0,6.0,10.0,0.46
85.0,30.0,11.0,0.46
179.0,7.0,12.0,0.46
100.0,30.0,1.0,0.47
176.0,3.0,2.0,0.47
97.0,30.0,3.0,0.47
76.0,30.0,4.0,0.47
186.0,3.0,5.0,0.47
77.0,30.0,6.0,0.47
139.0,5.0,7.0,0.47
150.0,8.0,8.0,0.47
118.0,17.0,9.0,0.47
190.0,10.0,10.0,0.47
213.0,8.0,11.0,0.47
205.0,10.0,12.0,0.47
204.0,0.0,1.0,0.48
115.0,29.0,2.0,0.48
182.0,3.0,3.0,0.48
165.0,3.0,4.0,0.48
135.0,16.0,5.0,0.48
198.0,2.0,6.0,0.48
146.0,3.0,7.0,0.48
209.0,1.0,8.0,0.48
227.0,4.0,9.0,0.48
91.0,30.0,10.0,0.48
86.0,30.0,11.0,0.48
140.0,4.0,12.0,0.48
105.0,29.0,1.0,0.49
178.0,4.0,2.0,0.49
128.0,4.0,3.0,0.49
155.0,2.0,4.0,0.49
103.0,19.0,5.0,0.49
192.0,4.0,6.0,0.49
200.0,1.0,7.0,0.49
170.0,18.0,8.0,0.49
167.0,19.0,9.0,0.49
149.0,19.0,10.0,0.49
78.0,23.0,11.0,0.49
83.0,0.0,12.0,0.49
209.0,1.0,1.0,0.5
228.0,3.0,2.0,0.5
94.0,30.0,3.0,0.5
206.0,0.0,4.0,0.5
196.0,1.0,5.0,0.5
186.0,11.0,6.0,0.5
164.0,16.0,7.0,0.5
224.0,1.0,8.0,0.5
220.0,3.0,9.0,0.5
94.0,30.0,10.0,0.5
97.0,25.0,11.0,0.5
150.0,0.0,12.0,0.5
191.0,4.0,1.0,0.51
164.0,4.0,2.0,0.51
136.0,19.0,3.0,0.51
185.0,6.0,4.0,0.51
178.0,6.0,5.0,0.51
